,train,test
0,0.24390971660614014,0.26811474561691284
1,0.25474676489830017,0.21974563598632812
2,0.1749698519706726,0.1911478042602539
3,0.04367734491825104,0.22904278337955475
4,0.4227653443813324,0.207877054810524
5,0.09323668479919434,0.18915477395057678
6,0.4172719120979309,0.20494219660758972
7,0.3103490471839905,0.19465187191963196
8,0.0265699103474617,0.17033036053180695
9,0.29823368787765503,0.19642996788024902
10,0.17844991385936737,0.1867748498916626
11,0.10749725252389908,0.17038974165916443
12,0.2895568013191223,0.17936186492443085
13,0.15040042996406555,0.22841599583625793
14,0.0245589017868042,0.14638105034828186
15,0.124920554459095,0.16125530004501343
16,0.1771833449602127,0.1543762981891632
17,0.2680498957633972,0.16829264163970947
18,0.1837342381477356,0.15301039814949036
19,0.21338698267936707,0.1524813175201416
20,0.2407875657081604,0.18678277730941772
21,0.1393543779850006,0.1502024382352829
22,0.01798321306705475,0.16064992547035217
23,0.25896507501602173,0.1487579345703125
24,0.17247065901756287,0.14356988668441772
25,0.14549989998340607,0.14198161661624908
26,0.2185659259557724,0.18754485249519348
27,0.014205283485352993,0.14077706634998322
28,0.39760661125183105,0.1521926075220108
29,0.098613440990448,0.1665804088115692
30,0.27740731835365295,0.14553852379322052
31,0.3029242753982544,0.14146864414215088
32,0.3334929943084717,0.22246627509593964
33,0.059152428060770035,0.18237988650798798
34,0.235096275806427,0.1563965231180191
35,0.17222774028778076,0.19731272757053375
36,0.08626604825258255,0.12524446845054626
37,0.27084851264953613,0.13989180326461792
38,0.3392524719238281,0.1737113893032074
39,0.15576958656311035,0.17343518137931824
40,0.039665013551712036,0.12340523302555084
41,0.09759082645177841,0.14236177504062653
42,0.01676233485341072,0.1476779282093048
43,0.13539870083332062,0.16254785656929016
44,0.15243184566497803,0.13763028383255005
45,0.40613827109336853,0.1559930294752121
46,0.3402818739414215,0.1648751050233841
47,0.21038398146629333,0.1460447907447815
48,0.09779158234596252,0.1514546126127243
49,0.03928793966770172,0.20439186692237854
50,0.019309701398015022,0.15959672629833221
51,0.42506706714630127,0.14718209207057953
52,0.054135896265506744,0.12488996982574463
53,0.14153000712394714,0.14410017430782318
54,0.1779806911945343,0.15779884159564972
55,0.1489141583442688,0.2100791186094284
56,0.03568483144044876,0.16860143840312958
57,0.05021268129348755,0.13124041259288788
58,0.10706169903278351,0.11810402572154999
59,0.07079140096902847,0.12945201992988586
60,0.09557139873504639,0.14442218840122223
61,0.03719478100538254,0.14047108590602875
62,0.20857813954353333,0.1352897435426712
63,0.36635255813598633,0.12325341999530792
64,0.02532733418047428,0.20563986897468567
65,0.08784650266170502,0.16095136106014252
66,0.4186599552631378,0.13565558195114136
67,0.11032441258430481,0.15245939791202545
68,0.21353398263454437,0.15158070623874664
69,0.07333388924598694,0.13381612300872803
70,0.04527394473552704,0.13558532297611237
71,0.11912763863801956,0.1396396905183792
72,0.12150795012712479,0.13402248919010162
73,0.08311016857624054,0.12014544755220413
74,0.05570308864116669,0.12553638219833374
75,0.05482785403728485,0.13566821813583374
76,0.10615917295217514,0.11695852130651474
77,0.2605132460594177,0.12237390130758286
78,0.3033917546272278,0.12950633466243744
79,0.30965596437454224,0.12294554710388184
80,0.03127055615186691,0.12511777877807617
81,0.07635055482387543,0.10668452084064484
82,0.5435683131217957,0.1382811814546585
83,0.07486914098262787,0.10894032567739487
84,0.11421899497509003,0.1129835695028305
85,0.19679930806159973,0.16155384480953217
86,0.2798933684825897,0.2791651785373688
87,0.3111920952796936,0.1388358175754547
88,0.44434815645217896,0.12444310635328293
89,0.17266049981117249,0.1136166900396347
90,0.09728845208883286,0.1485203504562378
91,0.07200650870800018,0.14983075857162476
92,0.10492751747369766,0.10991289466619492
93,0.24656100571155548,0.14095628261566162
94,0.03795664384961128,0.1105184406042099
95,0.19102853536605835,0.12916694581508636
96,0.049976006150245667,0.11044240742921829
97,0.010953127406537533,0.182491734623909
98,0.03628184273838997,0.11025552451610565
99,0.08457911014556885,0.11160819977521896
